Index,X_pixel,Y_pixel,I,J,Albedo
729,-44.11746433465418,-76.92573353716374,0,5,53
729,-44.11746433465418,-76.56001851678069,0,6,160
729,-44.11746433465418,-76.19430349639765,0,7,148
729,-44.11746433465418,-75.82858847601462,0,8,127
729,-44.11746433465418,-75.46287345563157,0,9,146
729,-44.11746433465418,-75.09715843524853,0,10,165
729,-44.11746433465418,-74.7314434148655,0,11,182
729,-44.11746433465418,-74.36572839448245,0,12,145
729,-44.11746433465418,-74.00001337409941,0,13,125
729,-44.11746433465418,-73.63429835371636,0,14,136
729,-44.11746433465418,-73.26858333333332,0,15,159
729,-44.11746433465418,-72.90286831295029,0,16,155
729,-44.11746433465418,-72.53715329256724,0,17,138
729,-44.11746433465418,-72.1714382721842,0,18,171
729,-44.11746433465418,-71.80572325180115,0,19,178
729,-44.11746433465418,-71.44000823141812,0,20,166
729,-44.11746433465418,-71.07429321103508,0,21,160
729,-44.11746433465418,-70.70857819065203,0,22,86
729,-44.22588152715871,-77.29144855754677,1,4,59
729,-44.22588152715871,-76.92573353716374,1,5,171
729,-44.22588152715871,-76.56001851678069,1,6,154
729,-44.22588152715871,-76.19430349639765,1,7,138
729,-44.22588152715871,-75.82858847601462,1,8,155
729,-44.22588152715871,-75.46287345563157,1,9,170
729,-44.22588152715871,-75.09715843524853,1,10,184
729,-44.22588152715871,-74.7314434148655,1,11,160
729,-44.22588152715871,-74.36572839448245,1,12,134
729,-44.22588152715871,-74.00001337409941,1,13,142
729,-44.22588152715871,-73.63429835371636,1,14,159
729,-44.22588152715871,-73.26858333333332,1,15,168
729,-44.22588152715871,-72.90286831295029,1,16,151
729,-44.22588152715871,-72.53715329256724,1,17,161
729,-44.22588152715871,-72.1714382721842,1,18,180
729,-44.22588152715871,-71.80572325180115,1,19,176
729,-44.22588152715871,-71.44000823141812,1,20,147
729,-44.22588152715871,-71.07429321103508,1,21,184
729,-44.22588152715871,-70.70857819065203,1,22,186
729,-44.22588152715871,-70.342863170269,1,23,69
729,-44.33429871966325,-77.65716357792982,2,3,55
729,-44.33429871966325,-77.29144855754677,2,4,171
729,-44.33429871966325,-76.92573353716374,2,5,163
729,-44.33429871966325,-76.56001851678069,2,6,142
729,-44.33429871966325,-76.19430349639765,2,7,160
729,-44.33429871966325,-75.82858847601462,2,8,174
729,-44.33429871966325,-75.46287345563157,2,9,170
729,-44.33429871966325,-75.09715843524853,2,10,188
729,-44.33429871966325,-74.7314434148655,2,11,141
729,-44.33429871966325,-74.36572839448245,2,12,153
729,-44.33429871966325,-74.00001337409941,2,13,156
729,-44.33429871966325,-73.63429835371636,2,14,166
729,-44.33429871966325,-73.26858333333332,2,15,153
729,-44.33429871966325,-72.90286831295029,2,16,157
729,-44.33429871966325,-72.53715329256724,2,17,165
729,-44.33429871966325,-72.1714382721842,2,18,175
729,-44.33429871966325,-71.80572325180115,2,19,156
729,-44.33429871966325,-71.44000823141812,2,20,174
729,-44.33429871966325,-70.342863170269,2,23,181
729,-44.33429871966325,-69.97714814988596,2,24,64
729,-44.442715912167785,-77.65716357792982,3,3,146
729,-44.442715912167785,-77.29144855754677,3,4,171
729,-44.442715912167785,-76.92573353716374,3,5,142
729,-44.442715912167785,-76.56001851678069,3,6,157
729,-44.442715912167785,-76.19430349639765,3,7,161
729,-44.442715912167785,-75.82858847601462,3,8,161
729,-44.442715912167785,-75.46287345563157,3,9,175
729,-44.442715912167785,-75.09715843524853,3,10,157
729,-44.442715912167785,-74.7314434148655,3,11,152
729,-44.442715912167785,-74.36572839448245,3,12,160
729,-44.442715912167785,-74.00001337409941,3,13,168
729,-44.442715912167785,-73.63429835371636,3,14,154
729,-44.442715912167785,-73.26858333333332,3,15,152
729,-44.442715912167785,-72.90286831295029,3,16,165
729,-44.442715912167785,-72.53715329256724,3,17,167
729,-44.442715912167785,-72.1714382721842,3,18,148
729,-44.442715912167785,-71.80572325180115,3,19,171
729,-44.442715912167785,-71.44000823141812,3,20,187
729,-44.442715912167785,-69.97714814988596,3,24,162
729,-44.442715912167785,-69.61143312950291,3,25,56
729,-44.551133104672324,-78.02287859831286,4,2,116
729,-44.551133104672324,-77.65716357792982,4,3,163
729,-44.551133104672324,-77.29144855754677,4,4,139
729,-44.551133104672324,-76.92573353716374,4,5,142
729,-44.551133104672324,-76.56001851678069,4,6,162
729,-44.551133104672324,-76.19430349639765,4,7,152
729,-44.551133104672324,-75.82858847601462,4,8,169
729,-44.551133104672324,-75.46287345563157,4,9,159
729,-44.551133104672324,-75.09715843524853,4,10,156
729,-44.551133104672324,-74.7314434148655,4,11,156
729,-44.551133104672324,-74.36572839448245,4,12,156
729,-44.551133104672324,-74.00001337409941,4,13,173
729,-44.551133104672324,-73.63429835371636,4,14,144
729,-44.551133104672324,-73.26858333333332,4,15,163
729,-44.551133104672324,-72.90286831295029,4,16,162
